OID_,CID,L5_20001227_NIR,L5_20010128_NIR,L5_20010418_NIR,L5_20021201_NIR,L5_20030219_NIR,L5_20031220_NIR,L5_20040410_NIR,L5_20041222_NIR,L5_20050312_NIR,L5_20051123_NIR,L5_20060227_NIR,L5_20070129_NIR,L5_20080421_NIR,L5_20081030_NIR,L5_20090118_NIR,L5_20090307_NIR,L5_20101207_NIR,L5_20101223_NIR,L5_20110108_NIR,L5_20110313_NIR,L5_20110430_NIR
183,1,0.244097500000000,0.223170000000000,0.212170000000000,0.230870000000000,0.230952500000000,0.227845000000000,0.216295000000000,0.137975000000000,0.139157500000000,0.124170000000000,0.122877500000000,0.160690000000000,0.210190000000000,0.208870000000000,0.221932500000000,0.216432500000000,0.212912500000000,0.230705000000000,0.224655000000000,0.215195000000000,0.220557500000000
184,1,0.213050000000000,0.190637500000000,0.256115000000000,0.215167500000000,0.188355000000000,0.200812500000000,0.238460000000000,0.204965000000000,0.169682500000000,0.206890000000000,0.175540000000000,0.183652500000000,0.244097500000000,0.221657500000000,0.194817500000000,0.195670000000000,0.202600000000000,0.218990000000000,0.203260000000000,0.202820000000000,0.259277500000000
185,1,0.230512500000000,0.206505000000000,0.275997500000000,0.230457500000000,0.197540000000000,0.253997500000000,0.268270000000000,0.249680000000000,0.219320000000000,0.255125000000000,0.236095000000000,0.248470000000000,0.254245000000000,0.251550000000000,0.253502500000000,0.248635000000000,0.232410000000000,0.257325000000000,0.245197500000000,0.232575000000000,0.233427500000000
186,1,0.230402500000000,0.222482500000000,0.215442500000000,0.225232500000000,0.216487500000000,0.211345000000000,0.220035000000000,0.210547500000000,0.192535000000000,0.211565000000000,0.207907500000000,0.197485000000000,0.227157500000000,0.174027500000000,0.157252500000000,0.170975000000000,0.202490000000000,0.213462500000000,0.208375000000000,0.194762500000000,0.233647500000000
187,1,0.243795000000000,0.218000000000000,0.245995000000000,0.246270000000000,0.240577500000000,0.286227500000000,0.242667500000000,0.137837500000000,0.146775000000000,0.197540000000000,0.187887500000000,0.169792500000000,0.213847500000000,0.217532500000000,0.216075000000000,0.228395000000000,0.197842500000000,0.208375000000000,0.203425000000000,0.218715000000000,0.246572500000000
188,1,0.189675000000000,0.191077500000000,0.225040000000000,0.189400000000000,0.183790000000000,0.179527500000000,0.201005000000000,0.188382500000000,0.177355000000000,0.187557500000000,0.171662500000000,0.179087500000000,0.220282500000000,0.204442500000000,0.205460000000000,0.199767500000000,0.182745000000000,0.202710000000000,0.187667500000000,0.187667500000000,0.233455000000000
189,1,0.232547500000000,0.222977500000000,0.228752500000000,0.215305000000000,0.212087500000000,0.206477500000000,0.223500000000000,0.199547500000000,0.196522500000000,0.197292500000000,0.196357500000000,0.193442500000000,0.230540000000000,0.208870000000000,0.205955000000000,0.212610000000000,0.187915000000000,0.208980000000000,0.203507500000000,0.210795000000000,0.240467500000000
190,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
191,1,0.196247500000000,0.169682500000000,0.184670000000000,0.225672500000000,0.212362500000000,0.243712500000000,0.249982500000000,0.244510000000000,0.207962500000000,0.246160000000000,0.224792500000000,0.230347500000000,0.237360000000000,0.238982500000000,0.248442500000000,0.237057500000000,0.272587500000000,0.280177500000000,0.266510000000000,0.252760000000000,0.298190000000000
192,1,0.213105000000000,0.212087500000000,0.249487500000000,0.209887500000000,0.202737500000000,0.200812500000000,0.257627500000000,0.221905000000000,0.219375000000000,0.211730000000000,0.208127500000000,0.188245000000000,0.244400000000000,0.208760000000000,0.210685000000000,0.215910000000000,0.202572500000000,0.213600000000000,0.203315000000000,0.210437500000000,0.275447500000000
