OID_,CID,L8_20140116_R,L8_20140217_R,L8_20140321_R,L8_20141015_R,L8_20141202_R,L8_20150119_R,L8_20150220_R,L8_20170108_R,L8_20170124_R,L8_20170516_R,L8_20171210_R,L8_20180316_R,L8_20181127_R,L8_20200117_R,L8_20200202_R,L8_20201116_R,L8_20201218_R,L8_20211119_R,L8_20211205_R,L8_20220106_R,L8_20220327_R,L8_20220412_R,L8_20221021_R,L8_20221208_R,L8_20221224_R,L8_20230314_R,L8_20230330_R,L8_20230922_R
494,1,0.017910000000000,0.021072500000000,0.025830000000000,0.017800000000000,0.019835000000000,0.018570000000000,0.022255000000000,0.016920000000000,0.017882500000000,0.026270000000000,0.017387500000000,0.026462500000000,0.017772500000000,0.021430000000000,0.022035000000000,0.020495000000000,0.019450000000000,0.021842500000000,0.020907500000000,0.020440000000000,0.027260000000000,0.027095000000000,0.022145000000000,0.019560000000000,0.019312500000000,0.025912500000000,0.027287500000000,0.022420000000000
495,1,0.021622500000000,0.024785000000000,0.031962500000000,0.017662500000000,0.020412500000000,0.020357500000000,0.023520000000000,0.027562500000000,0.029185000000000,0.047197500000000,0.027122500000000,0.048737500000000,0.025005000000000,0.030367500000000,0.030395000000000,0.022970000000000,0.025197500000000,0.027315000000000,0.025912500000000,0.024290000000000,0.037655000000000,0.034382500000000,0.025665000000000,0.024840000000000,0.025170000000000,0.034740000000000,0.035592500000000,0.025775000000000
496,1,0.026627500000000,0.032347500000000,0.035180000000000,0.022530000000000,0.026682500000000,0.023052500000000,0.029515000000000,0.021595000000000,0.022695000000000,0.038122500000000,0.023492500000000,0.031550000000000,0.018735000000000,0.024840000000000,0.024125000000000,0.020440000000000,0.021155000000000,0.025005000000000,0.024675000000000,0.021265000000000,0.027892500000000,0.027562500000000,0.023245000000000,0.021375000000000,0.021347500000000,0.024070000000000,0.026435000000000,0.020742500000000
497,1,0.015985000000000,0.017992500000000,0.020852500000000,0.015242500000000,0.017195000000000,0.016617500000000,0.017662500000000,0.015105000000000,0.015957500000000,0.028937500000000,0.014280000000000,0.020110000000000,0.014225000000000,0.025087500000000,0.023465000000000,0.014060000000000,0.014225000000000,0.014417500000000,0.017140000000000,0.016425000000000,0.020027500000000,0.020907500000000,0.016425000000000,0.016562500000000,0.016370000000000,0.018680000000000,0.021375000000000,0.015435000000000
498,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
499,1,0.032045000000000,0.039167500000000,0.045602500000000,0.026985000000000,0.028937500000000,0.027012500000000,0.034575000000000,0.026242500000000,0.029487500000000,0.055227500000000,0.030037500000000,0.049095000000000,0.027425000000000,0.032265000000000,0.032045000000000,0.026545000000000,0.026105000000000,0.027975000000000,0.027287500000000,0.025527500000000,0.034190000000000,0.033392500000000,0.025582500000000,0.024152500000000,0.023905000000000,0.028360000000000,0.029322500000000,0.098320000000000
500,1,0.036362500000000,0.044585000000000,0.051790000000000,0.035647500000000,0.039277500000000,0.037710000000000,0.045162500000000,0.032897500000000,0.036692500000000,0.057537500000000,0.029927500000000,0.046180000000000,0.027012500000000,0.108687500000000,0.106322500000000,0.055227500000000,0.051927500000000,0.042220000000000,0.057922500000000,0.045795000000000,0.043347500000000,0.043760000000000,0.050112500000000,0.054045000000000,0.055255000000000,0.052450000000000,0.062927500000000,0.042137500000000
501,1,0.017910000000000,0.020605000000000,0.023767500000000,0.015572500000000,0.019065000000000,0.017662500000000,0.020330000000000,0.017690000000000,0.017992500000000,0.020770000000000,0.017195000000000,0.023795000000000,0.016617500000000,0.022310000000000,0.021402500000000,0.018185000000000,0.019505000000000,0.020495000000000,0.020880000000000,0.018900000000000,0.021732500000000,0.021100000000000,0.017855000000000,0.018157500000000,0.018680000000000,0.019450000000000,0.020220000000000,0.017222500000000
502,1,0.022612500000000,0.027012500000000,0.031137500000000,0.020660000000000,0.025362500000000,0.020385000000000,0.028800000000000,0.031742500000000,0.034987500000000,0.052037500000000,0.024840000000000,0.035317500000000,0.025802500000000,0.042880000000000,0.046097500000000,0.033062500000000,0.033475000000000,0.026875000000000,0.028635000000000,0.024730000000000,0.026627500000000,0.028855000000000,0.034932500000000,0.034960000000000,0.033750000000000,0.049150000000000,0.054210000000000,0.031880000000000
503,1,0.025005000000000,0.032127500000000,0.038617500000000,0.021430000000000,0.023822500000000,0.021072500000000,0.026710000000000,0.021650000000000,0.022585000000000,0.044750000000000,0.022172500000000,0.034437500000000,0.016452500000000,0.023547500000000,0.021842500000000,0.017690000000000,0.020852500000000,0.057152500000000,0.065430000000000,0.054842500000000,0.057592500000000,0.064495000000000,0.061002500000000,0.054870000000000,0.055915000000000,0.049425000000000,0.069197500000000,0.035345000000000
